arch,arch_label,family,threshold_name,rate,n_seeds,asr_rel_target,asr_rel_control,gap_value,auroc_delta_overall,gates_all
resnet50,ResNet-50,convolutional,youden_j,0.5,3,0.06206451570491792,-0.009956179467988933,0.07202069517290689,-0.001770902403648433,False
resnet50,ResNet-50,convolutional,youden_j,0.75,3,0.10968945483052783,-0.019570181981921966,0.12925963681244984,-0.004924772587367099,False
resnet50,ResNet-50,convolutional,youden_j,1.0,3,0.24366491867723328,-0.0108264510683364,0.2544913697455697,-0.012726642868198834,True
convnext_tiny,ConvNeXt-T,convolutional,youden_j,0.5,3,0.06320066148507143,-0.011194550688045035,0.07439521217311644,-0.0022657975647413335,False
convnext_tiny,ConvNeXt-T,convolutional,youden_j,0.75,3,0.14021756374014638,-0.026614665034203233,0.16683222877434967,-0.005001906680208866,False
convnext_tiny,ConvNeXt-T,convolutional,youden_j,1.0,3,0.1953327931067456,-0.011843751169110633,0.20717654427585627,-0.010126868055718767,False
efficientnet_b4,EfficientNet-B4,convolutional,youden_j,0.5,2,0.1083334508826506,0.014461516997364749,0.09387193388528585,-0.00209968758127475,False
efficientnet_b4,EfficientNet-B4,convolutional,youden_j,0.75,3,0.1699129136756766,0.013539625043813066,0.1563732886318634,-0.003975730263497267,False
efficientnet_b4,EfficientNet-B4,convolutional,youden_j,1.0,3,0.25223501216844185,0.004382458693873367,0.24785255347456844,-0.0102047449088664,True
densenet121,DenseNet-121,convolutional,youden_j,0.5,3,0.13545646267607173,0.027544468195428867,0.10791199448064283,-0.0017592403798139334,False
densenet121,DenseNet-121,convolutional,youden_j,0.75,3,0.22099298595173497,0.008339589233376703,0.21265339671835817,-0.005196564079681967,True
densenet121,DenseNet-121,convolutional,youden_j,1.0,3,0.3609634542442414,0.042739931481086464,0.31822352276315485,-0.013803398742607434,True
vit_base_patch16_224,ViT-B/16,transformer,youden_j,0.5,3,0.14605891725019768,0.04509397082946493,0.10096494642073266,-0.0006095741461422667,False
vit_base_patch16_224,ViT-B/16,transformer,youden_j,0.75,3,0.24862958390792333,0.05562644471974626,0.19300313918817702,-0.004775806015582634,True
vit_base_patch16_224,ViT-B/16,transformer,youden_j,1.0,3,0.20179854577143005,0.012511043279440567,0.18928750249198945,-0.007692588331097534,True
swin_tiny_patch4_window7_224,Swin-T,transformer,youden_j,0.5,3,0.13660648492338182,0.031404381808151936,0.10520210311522989,-0.0011046868680644666,False
swin_tiny_patch4_window7_224,Swin-T,transformer,youden_j,0.75,3,0.25041513422317624,0.03984617917307517,0.2105689550501011,-0.004449618972283901,True
swin_tiny_patch4_window7_224,Swin-T,transformer,youden_j,1.0,3,0.24733038907242644,0.014858713452918233,0.23247167561950824,-0.0084620406788399,True
