stratum,cell,n,n_pos,p_black_mean,fnr_clean,fnr_attacked,delta_fnr,asr_rel,sens_clean,sens_attacked,seed,rate
p_black_decile,0,7372,2111,5.247343324299436e-07,0.11842728564661298,0.1241117953576504,0.005684509711037428,0.006448146157979586,0.881572714353387,0.8758882046423496,42,0.65
p_black_decile,1,7298,1956,4.618379989551613e-06,0.12832310838445807,0.14212678936605316,0.013803680981595096,0.01583577712609971,0.871676891615542,0.8578732106339468,42,0.65
p_black_decile,2,7313,1883,2.0766190573340282e-05,0.14869888475836432,0.1609134360063728,0.012214551248008493,0.014348097317529628,0.8513011152416357,0.8390865639936271,42,0.65
p_black_decile,3,7363,1846,7.469506817869842e-05,0.15222101841820151,0.1684723726977248,0.01625135427952329,0.019169329073482424,0.8477789815817984,0.8315276273022751,42,0.65
p_black_decile,4,7304,1822,0.00025163445388898253,0.15203073545554335,0.17014270032930845,0.018111964873765096,0.021359223300970877,0.8479692645444566,0.8298572996706916,42,0.65
p_black_decile,5,7324,1767,0.0009153984137810767,0.1482739105829089,0.17543859649122806,0.027164685908319164,0.03189368770764117,0.851726089417091,0.8245614035087719,42,0.65
p_black_decile,6,7327,1626,0.004003571812063456,0.15436654366543665,0.1906519065190652,0.036285362853628544,0.04290909090909092,0.8456334563345633,0.8093480934809348,42,0.65
p_black_decile,7,7320,1536,0.025486931204795837,0.16145833333333334,0.22005208333333334,0.05859375,0.06987577639751553,0.8385416666666666,0.7799479166666666,42,0.65
p_black_decile,8,7325,1320,0.2599884867668152,0.175,0.25303030303030305,0.07803030303030306,0.09458218549127645,0.825,0.746969696969697,42,0.65
p_black_decile,9,7328,831,0.9120047092437744,0.2214199759326113,0.3369434416365824,0.1155234657039711,0.14837712519319934,0.7785800240673887,0.6630565583634176,42,0.65
race_bucket,Asian,7262,2164,0.08977636694908142,0.14833641404805914,0.17975970425138632,0.03142329020332718,0.036896364622897464,0.8516635859519408,0.8202402957486137,42,0.65
race_bucket,Hispanic/Latino,13394,2512,0.15729844570159912,0.17953821656050956,0.21934713375796178,0.03980891719745222,0.04852013585638038,0.8204617834394905,0.7806528662420382,42,0.65
race_bucket,OTHER,6989,1824,0.16960792243480682,0.15021929824561403,0.20175438596491227,0.05153508771929824,0.060645161290322575,0.8497807017543859,0.7982456140350878,42,0.65
race_bucket,UNKNOWN,8859,3167,0.05549488961696625,0.12472371329333755,0.14903694347963373,0.024313230186296178,0.027777777777777776,0.8752762867066625,0.8509630565203663,42,0.65
race_bucket,White (non-US subcategory),9752,2883,0.01079077273607254,0.14776274713839752,0.1657995143947277,0.01803676725633019,0.02116402116402114,0.8522372528616025,0.8342004856052723,42,0.65
race_bucket,declined / unable to obtain,1031,383,0.049289826303720474,0.10966057441253264,0.14882506527415143,0.039164490861618786,0.043988269794721396,0.8903394255874674,0.8511749347258486,42,0.65
race_bucket,no race recorded,25012,3443,0.16518794000148773,0.16293929712460065,0.19314551263433052,0.030206215509729878,0.036086051353226914,0.8370607028753994,0.8068544873656694,42,0.65
race_bucket,other named category,975,322,0.09149330854415894,0.13975155279503104,0.17391304347826086,0.03416149068322982,0.03971119133574008,0.860248447204969,0.8260869565217391,42,0.65
p_black_decile,0,7372,2111,5.247343324299436e-07,0.11842728564661298,0.13358597820937945,0.015158692562766474,0.017195056421278897,0.881572714353387,0.8664140217906205,42,0.75
p_black_decile,1,7298,1956,4.618379989551613e-06,0.12832310838445807,0.14775051124744376,0.019427402862985693,0.022287390029325522,0.871676891615542,0.8522494887525562,42,0.75
p_black_decile,2,7313,1883,2.0766190573340282e-05,0.14869888475836432,0.1656930430164631,0.016994158258098774,0.01996257018091079,0.8513011152416357,0.8343069569835369,42,0.75
p_black_decile,3,7363,1846,7.469506817869842e-05,0.15222101841820151,0.16630552546045504,0.01408450704225353,0.016613418530351448,0.8477789815817984,0.8336944745395449,42,0.75
p_black_decile,4,7304,1822,0.00025163445388898253,0.15203073545554335,0.1706915477497256,0.018660812294182233,0.022006472491909405,0.8479692645444566,0.8293084522502744,42,0.75
p_black_decile,5,7324,1767,0.0009153984137810767,0.1482739105829089,0.17713638936049803,0.02886247877758913,0.03388704318936877,0.851726089417091,0.822863610639502,42,0.75
p_black_decile,6,7327,1626,0.004003571812063456,0.15436654366543665,0.1863468634686347,0.03198031980319804,0.037818181818181834,0.8456334563345633,0.8136531365313653,42,0.75
p_black_decile,7,7320,1536,0.025486931204795837,0.16145833333333334,0.22786458333333334,0.06640625,0.07919254658385093,0.8385416666666666,0.7721354166666666,42,0.75
p_black_decile,8,7325,1320,0.2599884867668152,0.175,0.2643939393939394,0.08939393939393941,0.10835629017447203,0.825,0.7356060606060606,42,0.75
p_black_decile,9,7328,831,0.9120047092437744,0.2214199759326113,0.4091456077015644,0.18772563176895307,0.241112828438949,0.7785800240673887,0.5908543922984356,42,0.75
race_bucket,Asian,7262,2164,0.08977636694908142,0.14833641404805914,0.18391866913123844,0.035582255083179304,0.04177970699945742,0.8516635859519408,0.8160813308687616,42,0.75
race_bucket,Hispanic/Latino,13394,2512,0.15729844570159912,0.17953821656050956,0.23168789808917198,0.05214968152866242,0.06356137797185832,0.8204617834394905,0.768312101910828,42,0.75
race_bucket,OTHER,6989,1824,0.16960792243480682,0.15021929824561403,0.2099780701754386,0.05975877192982457,0.0703225806451613,0.8497807017543859,0.7900219298245614,42,0.75
race_bucket,UNKNOWN,8859,3167,0.05549488961696625,0.12472371329333755,0.15440479949479002,0.029681086201452475,0.033910533910533905,0.8752762867066625,0.84559520050521,42,0.75
race_bucket,White (non-US subcategory),9752,2883,0.01079077273607254,0.14776274713839752,0.1716961498439126,0.023933402705515083,0.028083028083028077,0.8522372528616025,0.8283038501560874,42,0.75
race_bucket,declined / unable to obtain,1031,383,0.049289826303720474,0.10966057441253264,0.15404699738903394,0.04438642297650129,0.04985337243401758,0.8903394255874674,0.8459530026109661,42,0.75
race_bucket,no race recorded,25012,3443,0.16518794000148773,0.16293929712460065,0.20360151031077547,0.04066221318617483,0.048577376821651606,0.8370607028753994,0.7963984896892246,42,0.75
