cohort_id,threshold_name,delta_auroc,auroc_cal_method,delta_fnr,fnr_cal_method,n_clean_runs
isic_source,sens0.80,0.03921494459700883,normal_approx_p95,-0.07100189749537354,normal_approx_p95,6
isic_source,spec0.90,0.03921494459700883,normal_approx_p95,-0.053520746479350206,normal_approx_p95,6
isic_source,t0.5,0.03921494459700883,normal_approx_p95,-0.041477046091223546,normal_approx_p95,6
isic_source,youden_j,0.03921494459700883,normal_approx_p95,-0.0585543986866459,normal_approx_p95,6
mimic_race_matched,sens0.80,0.010541259893186737,normal_approx_p95,0.0767882659949077,normal_approx_p95,5
mimic_race_matched,spec0.90,0.010541259893186737,normal_approx_p95,0.10140829194879791,normal_approx_p95,5
mimic_race_matched,t0.5,0.010541259893186737,normal_approx_p95,0.10633472514236192,normal_approx_p95,5
mimic_race_matched,youden_j,0.010541259893186737,normal_approx_p95,0.07374772254562595,normal_approx_p95,5
mimic_race_unmatched,sens0.80,0.0005406977106813394,empirical_p95,0.10076044860813067,empirical_p95,18
mimic_race_unmatched,spec0.90,0.0005406977106813394,empirical_p95,0.12188241148506045,empirical_p95,18
mimic_race_unmatched,t0.5,0.0005406977106813394,empirical_p95,0.12653781738218825,empirical_p95,18
mimic_race_unmatched,youden_j,0.0005406977106813394,empirical_p95,0.08811215990023935,empirical_p95,18
nih_sex_effusion,sens0.80,-0.0018063922934065785,normal_approx_p95,0.07346145511324749,normal_approx_p95,3
nih_sex_effusion,spec0.90,-0.0018063922934065785,normal_approx_p95,0.07862457825318711,normal_approx_p95,3
nih_sex_effusion,t0.5,-0.0018063922934065785,normal_approx_p95,0.052793327988646756,normal_approx_p95,3
nih_sex_effusion,youden_j,-0.0018063922934065785,normal_approx_p95,0.06899463967281616,normal_approx_p95,3
nih_sex_pneumothorax,sens0.80,,none,,none,0
nih_sex_pneumothorax,spec0.90,,none,,none,0
nih_sex_pneumothorax,t0.5,,none,,none,0
nih_sex_pneumothorax,youden_j,,none,,none,0
pcam_site,sens0.80,0.0006346473652737439,normal_approx_p95,0.04483079314954474,normal_approx_p95,6
pcam_site,spec0.90,0.0006346473652737439,normal_approx_p95,0.017274867052719738,normal_approx_p95,6
pcam_site,t0.5,0.0006346473652737439,normal_approx_p95,0.005538469027608087,normal_approx_p95,6
pcam_site,youden_j,0.0006346473652737439,normal_approx_p95,0.016158253237805016,normal_approx_p95,6
ptbxl_sex,sens0.80,-0.004185330531855951,normal_approx_p95,-0.022022000774842558,normal_approx_p95,3
ptbxl_sex,spec0.90,-0.004185330531855951,normal_approx_p95,-0.001509494717337096,normal_approx_p95,3
ptbxl_sex,t0.5,-0.004185330531855951,normal_approx_p95,-0.0009450560947961949,normal_approx_p95,3
ptbxl_sex,youden_j,-0.004185330531855951,normal_approx_p95,0.004132254349960297,normal_approx_p95,3
