cell,n,n_pos,p_black,sens_clean,sens_clean_sd,sens_attacked,sens_attacked_sd,delta_fnr,delta_fnr_sd,asr_rel,asr_rel_sd,prevalence,missed_per_1000,missed_per_1000_sd,stratum
0,7372,2111,5.247343324299436e-07,0.8588346755092373,0.019968961542736113,0.8610453181746408,0.018591700886229932,-0.0022106426654034663,0.021021871770904907,-0.002794140300272066,0.02445828931378633,0.2863537710255019,-0.6330258636281494,6.019692255613166,p_black_decile
1,7298,1956,4.618379989551613e-06,0.8551465576005454,0.014317971241509906,0.853612815269257,0.016912428110310903,0.001533742331288333,0.022720333377595978,0.0015974803548199333,0.026568449678874305,0.2680186352425322,0.41107152644559874,6.089472744118626,p_black_decile
2,7313,1883,2.076619057334028e-05,0.8298813949371571,0.01877857291041287,0.8312975747919986,0.015358166915733053,-0.0014161798548415997,0.02408807037447199,-0.0020422929594609996,0.029173087879422355,0.25748666757828526,-0.3646474315146633,6.20235696911401,p_black_decile
3,7363,1846,7.469506817869842e-05,0.8331527627302275,0.012899112567487107,0.8243048031780426,0.020133419811869044,0.0088479595521849,0.02134326196591067,0.0105171241578057,0.02577856151373016,0.2507130245823713,2.21829870071076,5.3510337619273525,p_black_decile
4,7304,1822,0.0002516344538889,0.8320526893523601,0.013852282617040601,0.8203439443834615,0.01746278053326401,0.011708744968898668,0.01804809726328355,0.013972598784402332,0.02177111213220158,0.24945235487404163,2.9207740051113604,4.5021403633218275,p_black_decile
5,7324,1767,0.000915398413781,0.8362573099415204,0.01477213503146719,0.8204112431616677,0.015707345473054943,0.015846066779852834,0.024531654557660643,0.0186780304590736,0.029337542624283296,0.2412616056799563,3.8230475150191094,5.918546368567225,p_black_decile
6,7327,1626,0.0040035718120634,0.8321033210332103,0.012284738225976739,0.8038130381303813,0.02315071368354083,0.028290282902828996,0.025416947502794347,0.033876575955184306,0.03059975988816832,0.22191892998498702,6.2781493107683835,5.6405017933047095,p_black_decile
7,7320,1536,0.0254869312047958,0.8140190972222222,0.021239662731106005,0.7649739583333334,0.02080279337066467,0.04904513888888887,0.025167062426466543,0.059954112599981964,0.030169803036463806,0.2098360655737705,10.291438979963566,5.280957361619209,p_black_decile
8,7325,1320,0.2599884867668152,0.8083333333333332,0.014453624263893064,0.7262626262626263,0.014890427260409662,0.08207070707070703,0.0146964490171227,0.10144926896555417,0.017531208540684722,0.1802047781569966,14.789533560864612,2.6483703348262067,p_black_decile
9,7328,831,0.9120047092437744,0.7673485760128359,0.0100200529456854,0.5968712394705175,0.005514531522209242,0.17047733654231845,0.015519889388008884,0.22201421204775182,0.017238542648326496,0.11340065502183407,19.33224163027656,1.759965622466619,p_black_decile
declined / unable to obtain,1031,383,0.0492898263037204,0.8616187989556136,0.02750823434165206,0.8546562228024369,0.012879589718841377,0.006962576153176667,0.03928036238954475,0.007128809048421235,0.045448365796032446,0.37148399612027155,2.5864856126737763,14.592025989520502,recorded_category
White (non-US subcategory),9752,2883,0.0107907727360725,0.8344317262111227,0.0157328603937325,0.825066481674182,0.016541786678186322,0.009365244536940667,0.018245675102098288,0.0110819576338732,0.021725897214419875,0.29563166529942575,2.7686628383921192,5.393999314945587,recorded_category
UNKNOWN,8859,3167,0.0554948896169662,0.853173350173666,0.02121919496862829,0.8383328070729398,0.019214486944896022,0.01484054310072623,0.030185701653384838,0.01694333075729827,0.035523011941055706,0.3574895586409301,5.3053392030703215,10.79107316133534,recorded_category
other named category,975,322,0.0914933085441589,0.8447204968944099,0.014231601537129943,0.829192546583851,0.0186335403726708,0.015527950310558966,0.014231601537129978,0.0183573818334228,0.016927874399244335,0.3302564102564103,5.128205128205115,4.700077635852157,recorded_category
Asian,7262,2164,0.0897763669490814,0.8427295132470732,0.007750921519044449,0.8156192236598891,0.019181624381254404,0.0271102895871842,0.020965276630955307,0.03210980536487363,0.02486641615091047,0.29798953456348115,8.078582575966209,6.247433025253001,recorded_category
no race recorded,25012,3443,0.1651879400014877,0.8207958176009295,0.014193193985327479,0.792525897957208,0.01265128955284708,0.0282699196437215,0.014983477294725999,0.0343191084125151,0.017875121149001496,0.13765392611546456,3.8914654299269595,2.0625344764809537,recorded_category
Hispanic/Latino,13394,2512,0.1572984457015991,0.805732484076433,0.012831816450068678,0.7615445859872612,0.016781241169074753,0.04418789808917193,0.018454342335189947,0.05473661947042647,0.022679658343706804,0.18754666268478423,8.28729281767955,3.4610503170074023,recorded_category
OTHER,6989,1824,0.1696079224348068,0.8249269005847953,0.021531004335294413,0.778874269005848,0.023210503247746376,0.046052631578947324,0.024695407082357887,0.05559262781329253,0.029519256889467837,0.26098154242380883,12.01888682214908,6.445045431137614,recorded_category
